Year,Name,Time in seconds
2021,Elaine Thompson-Herah (Jamaica),10.61
2016,Elaine Thompson (Jamaica),10.71
2012,Shelly-Ann Fraser (Jamaica),10.75
2008,Shelly-Ann Fraser-Pryce (Jamaica),10.78
2004,Yuliya Nesterenko (Belarus),10.93
2000,Ekateríni Thánou (Greece),11.12
1996,Gail Devers (USA),10.94
1992,Gail Devers (USA),10.82
1988,Florence Griffith Joyner (USA),10.54
1984,Evelyn Ashford (USA),10.97
1980, Lyudmila Kondratyeva (Soviet Union),11.06
1976, Annegret Richter (West Germany),11.08
1972, Renate Stecher (East Germany),11.07
1968, Wyomia Tyus (USA),11.08
1964, Wyomia Tyus (USA),11.49
1960, Wilma Rudolph (USA),11.18
1956, Betty Cuthbert (Australia),11.82
1952, Marjorie Jackson (Australia),11.67
1948, Fanny Blankers-Koen (Holland),11.9
1936, Helen Stephens (USA),11.5
1932, Stella Walsh (Poland),11.9
1928, Betty Robinson (USA),12.2
