Year,Name,Time in second
2021, Lamont Marcell Jacobs (Italy),9.8
2016, Usain Bolt (Jamaica),9.81
2012, Usain Bolt (Jamaica),9.63
2008, Usain Bolt (Jamaica),9.69
2004, Justin Gatlin (US),9.85
2000, Maurice Greene (US),9.87
1996, Donovan Bailey (Canada),9.84
1992, Linford Christie (Great Britain),9.96
1988, Carl Lewis (US),9.92
1984, Carl Lewis (US),9.99
1980, Allan Wells (Great Britain),10.25
1976, Hasely Crawford (Trinidad),10.06
1972, Valeriy Borzov (Soviet Union),10.14
1968, Jim Hines (USA),9.95
1964, Bob Hayes (USA),10.06
1960, Armin Hary (West Germany),10.32
1956, Bobby Morrow (USA),10.62
1952, Lindy Remigino (USA),10.4
1948, Harrison Dillard (USA),10.3
1936, Jesse Owens (USA),10.3
1932, Eddie Tolan (USA),10.38
1928, Percy Williams (Canada),10.8
1924, Harold Abrahams (Great Britain),10.6
1920, Charley Paddock (US),10.8
1912, Ralph Craig (USA),10.8
1908, Reggie Walker (South Africa),10.8
1904, Archie Hahn (US),11
1900, Frank Jarvis (US),11
1896, Thomas Burke (US),12
